"VIGENCIA","PERIODO OTORGAMIENTO","SEXO AL NACER","ESTRATO SOCIOECONÓMICO","CÓDIGO DEDEPARTAMENTO DE ORIGEN","DEPARTAMENTO DE ORIGEN","CATEGORÍA DEL MUNICIPIO DE ORIGEN","SECTOR IES","NIVEL DE FORMACIÓN","MODALIDAD DE LÍNEA","MODALIDAD DEL CRÉDITO","RANGO DEL VALOR TOTAL DESEMBOLSADO","NÚMERO DE NUEVOS BENEFICIARIOS DE CRÉDITO"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","OFICIAL","Formació técnica profesional","PREGRADO","MATRICULA","I","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","OFICIAL","Formación técnica profesional","PREGRADO","MATRICULA","IV","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","OFICIAL","Formación técnica profesional","PREGRADO","MATRICULA","V","2"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","OFICIAL","Tecnológico","PREGRADO","SOSTENIMIENTO","I","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","OFICIAL","Universitario","PREGRADO","MATRICULA","I","5"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","OFICIAL","Universitario","PREGRADO","SOSTENIMIENTO","I","2"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","OFICIAL","Universitario","PREGRADO","SOSTENIMIENTO","III","13"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","PRIVADO","Tecnológico","PREGRADO","MATRICULA","I","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","PRIVADO","Tecnológico","PREGRADO","MATRICULA","II","4"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","PRIVADO","Tecnológico","PREGRADO","MATRICULA","III","3"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","PRIVADO","Universitario","PREGRADO","MATRICULA","I","23"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","PRIVADO","Universitario","PREGRADO","MATRICULA","II","50"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","PRIVADO","Universitario","PREGRADO","MATRICULA","III","33"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","PRIVADO","Universitario","PREGRADO","MATRICULA","IV","19"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","PRIVADO","Universitario","PREGRADO","MATRICULA","V","21"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","PRIVADO","Universitario","PREGRADO","MI PC","I","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","CIUDADES Y AGLOMERACIONES","PRIVADO","Universitario","PREGRADO","SOSTENIMIENTO","III","2"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","INTERMEDIO","OFICIAL","Tecnológico","PREGRADO","SOSTENIMIENTO","III","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","INTERMEDIO","OFICIAL","Universitario","PREGRADO","SOSTENIMIENTO","III","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","INTERMEDIO","PRIVADO","Tecnológico","PREGRADO","MATRICULA","I","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","INTERMEDIO","PRIVADO","Universitario","PREGRADO","MATRICULA","I","16"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","INTERMEDIO","PRIVADO","Universitario","PREGRADO","MATRICULA","II","15"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","INTERMEDIO","PRIVADO","Universitario","PREGRADO","MATRICULA","IV","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","INTERMEDIO","PRIVADO","Universitario","PREGRADO","MATRICULA","V","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","RURAL","OFICIAL","Formación técnica profesional","PREGRADO","MATRICULA","V","1"
"2,015","2015-1","Femenino","1","5","ANTIOQUIA","RURAL","PRIVADO","Tecnológico","PREGRADO","MATRICULA","I","1"
